City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Dingle,PH,10.9995,122.6711,77.67,87,87,1.79,overcast clouds
306,Turbana,CO,10.2717,-75.4422,86.81,68,99,8.84,overcast clouds
307,Sheregesh,RU,52.9209,87.9869,50.05,46,4,2.68,clear sky
308,Pedasi,PA,7.5333,-80.0333,83.5,74,96,8.86,overcast clouds
309,Cap Malheureux,MU,-19.9842,57.6142,70.47,77,30,1.99,scattered clouds
310,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,75,0.0,broken clouds
311,Conde,BR,-7.2597,-34.9075,78.26,94,75,5.75,broken clouds
312,Hami,CN,42.8,93.45,59.07,9,0,11.88,clear sky
313,Pundaguitan,PH,6.3711,126.1689,81.66,76,100,1.52,overcast clouds
314,Bud,US,39.447,-86.1758,87.93,44,14,7.92,few clouds
315,Qujing,CN,25.4833,103.7833,58.14,94,100,6.49,overcast clouds
316,Portland,US,45.5234,-122.6762,59.05,57,100,5.75,overcast clouds
317,Devarkonda,IN,16.7,78.9333,85.89,65,7,2.01,clear sky
318,Kaliua,TZ,-5.0606,31.7936,72.66,67,100,3.74,overcast clouds
319,Verkhnyaya Balkariya,RU,43.1279,43.4573,49.12,63,0,8.34,clear sky
320,Muhos,FI,64.808,25.9931,46.18,81,1,3.33,clear sky
321,Waitati,NZ,-45.75,170.5667,51.8,82,100,7.78,moderate rain
322,Sorrento,IT,40.626,14.3744,68.86,84,0,0.0,clear sky
323,Iqaluit,CA,63.7506,-68.5145,24.53,73,20,15.01,few clouds
324,Darhan,MN,49.4867,105.9228,45.82,43,58,1.79,broken clouds
325,San Quintin,MX,30.4833,-115.95,71.01,53,14,13.71,few clouds
326,Fortuna,US,40.5982,-124.1573,61.92,85,100,9.22,overcast clouds
327,Minab,IR,27.1467,57.0801,80.92,65,0,2.3,clear sky
328,Thinadhoo,MV,0.5333,72.9333,82.94,70,100,9.71,overcast clouds
329,Lebanon,US,36.2081,-86.2911,87.85,50,40,0.0,scattered clouds
330,Parabel,RU,58.6978,81.4825,54.54,44,66,5.79,broken clouds
331,Maniitsoq,GL,65.4167,-52.9,27.88,69,63,14.0,broken clouds
332,Brae,GB,60.3964,-1.353,45.81,75,7,18.05,clear sky
333,Mendeleyevo,RU,56.0333,37.2167,51.58,76,0,11.18,clear sky
334,Meulaboh,ID,4.1363,96.1285,77.79,89,62,4.16,broken clouds
335,Port Blair,IN,11.6667,92.75,82.44,89,75,3.44,mist
336,Jalu,LY,29.0331,21.5482,72.64,50,38,19.37,scattered clouds
337,West Wendover,US,40.7391,-114.0733,63.1,20,89,5.66,overcast clouds
338,Cayenne,GF,4.9333,-52.3333,84.24,1,75,12.66,broken clouds
339,Blackfoot,US,43.1905,-112.345,58.01,51,100,22.66,overcast clouds
340,Pisco,PE,-13.7,-76.2167,69.85,73,8,4.61,smoke
341,La Esperanza,GT,14.8667,-91.5667,68.07,63,75,4.61,broken clouds
342,Okha,RU,53.5739,142.9478,33.48,98,100,10.92,overcast clouds
343,Davila,PH,18.4726,120.5763,82.69,78,58,9.57,broken clouds
344,Fort Collins,US,40.5853,-105.0844,74.86,16,0,12.66,clear sky
